Data,Zamkniecie
2021-12-22,0.88306
2021-12-23,0.8827
2021-12-24,0.88387
2021-12-27,0.88285
2021-12-28,0.88441
2021-12-29,0.88119
2021-12-30,0.88309
2021-12-31,0.87904
2022-01-03,0.88528
2022-01-04,0.88611
2022-01-05,0.88414
2022-01-06,0.88521
2022-01-07,0.88018
2022-01-10,0.88284
2022-01-11,0.8796
2022-01-12,0.87404
2022-01-13,0.87283
2022-01-14,0.87606
2022-01-17,0.87653
2022-01-18,0.88278
2022-01-19,0.88165
2022-01-20,0.88398
2022-01-21,0.88171
2022-01-24,0.8829
2022-01-25,0.88474
2022-01-26,0.88958
2022-01-27,0.89722
2022-01-28,0.89685
2022-01-31,0.89033
2022-02-01,0.88722
2022-02-02,0.88464
2022-02-03,0.87416
2022-02-04,0.87297
2022-02-07,0.87399
2022-02-08,0.87584
2022-02-09,0.87554
2022-02-10,0.87504
2022-02-11,0.88167
2022-02-14,0.88458
2022-02-15,0.88046
2022-02-16,0.87907
2022-02-17,0.88013
2022-02-18,0.883
2022-02-21,0.88436
2022-02-22,0.88287
2022-02-23,0.8846
2022-02-24,0.89312
2022-02-25,0.88763
2022-02-28,0.89123
2022-03-01,0.89932
2022-03-02,0.89932
2022-03-03,0.90365
2022-03-04,0.9145
2022-03-07,0.9213
2022-03-08,0.9173
2022-03-09,0.9034
2022-03-10,0.91008
2022-03-11,0.91656
2022-03-14,0.91451
2022-03-15,0.912
2022-03-16,0.90758
2022-03-17,0.9014
2022-03-18,0.90499
2022-03-21,0.90738
2022-03-22,0.90645
2022-03-23,0.9089
2022-03-24,0.90863
2022-03-25,0.91046
2022-03-28,0.91017
2022-03-29,0.90188
2022-03-30,0.89618
2022-03-31,0.90356
2022-04-01,0.90517
2022-04-04,0.91129
2022-04-05,0.9169
2022-04-06,0.91761
2022-04-07,0.91917
2022-04-08,0.91931
2022-04-11,0.91877
2022-04-12,0.9235
2022-04-13,0.91827
2022-04-14,0.92346
2022-04-18,0.92784
2022-04-19,0.92678
2022-04-20,0.92167
2022-04-21,0.9228
2022-04-22,0.92653
2022-04-25,0.9334
2022-04-26,0.93989
2022-04-27,0.94737
2022-04-28,0.95238
2022-04-29,0.94798
2022-05-02,0.95168
2022-05-03,0.95007
2022-05-04,0.94119
2022-05-05,0.94862
2022-05-06,0.94805
2022-05-09,0.94709
2022-05-10,0.94968
2022-05-11,0.95099
2022-05-12,0.96332
2022-05-13,0.96138
2022-05-16,0.95817
2022-05-17,0.94788
2022-05-18,0.95575
2022-05-19,0.94485
2022-05-20,0.94721
2022-05-23,0.935479
2022-05-24,0.931688
2022-05-25,0.936224
2022-05-26,0.931818
2022-05-27,0.931653
2022-05-30,0.927833
2022-05-31,0.931697
2022-06-01,0.938729
2022-06-02,0.930414
2022-06-03,0.932774
2022-06-06,0.935025
2022-06-07,0.934064
2022-06-08,0.933079
2022-06-09,0.941734
2022-06-10,0.950678
2022-06-13,0.960697
2022-06-14,0.960089
2022-06-15,0.95723
2022-06-16,0.947328
2022-06-17,0.952934
2022-06-20,0.951257
2022-06-21,0.949162
2022-06-22,0.94653
2022-06-23,0.950353
2022-06-24,0.947059
2022-06-27,0.944733
2022-06-28,0.95038
2022-06-29,0.957698
2022-06-30,0.954134
2022-07-01,0.958855
2022-07-04,0.959471
2022-07-05,0.974136
2022-07-06,0.981942
2022-07-07,0.984009
2022-07-08,0.982491
2022-07-11,0.996204
2022-07-12,0.996462
2022-07-13,0.994352
2022-07-14,0.998113
2022-07-15,0.991827
2022-07-18,0.985619
2022-07-19,0.977679
2022-07-20,0.982356
2022-07-21,0.977708
2022-07-22,0.979288
2022-07-25,0.978358
2022-07-26,0.98823
2022-07-27,0.980286
2022-07-28,0.980824
2022-07-29,0.978387
2022-08-01,0.974763
2022-08-02,0.983816
2022-08-03,0.983313
2022-08-04,0.97599
2022-08-05,0.982472
2022-08-08,0.980949
2022-08-09,0.979086
2022-08-10,0.970873
2022-08-11,0.968682
2022-08-12,0.974611
2022-08-15,0.984087
2022-08-16,0.983448
2022-08-17,0.982578
2022-08-18,0.991316
2022-08-19,0.995966
2022-08-22,1.00562
2022-08-23,1.00301
2022-08-24,1.00315
2022-08-25,1.00234
2022-08-26,1.00344
2022-08-29,1.00007
2022-08-30,0.998282
2022-08-31,0.994925
2022-09-01,1.00543
2022-09-02,1.00467
2022-09-05,1.00693
2022-09-06,1.00967
2022-09-07,0.9992
2022-09-08,1.00024
2022-09-09,0.99546
2022-09-12,0.988103
2022-09-13,1.00336
2022-09-14,1.00192
2022-09-15,1.00036
2022-09-16,0.998691
2022-09-19,0.997277
2022-09-20,1.00294
2022-09-21,1.01616
2022-09-22,1.01654
2022-09-23,1.03181
2022-09-26,1.04062
2022-09-27,1.04213
2022-09-28,1.02727
2022-09-29,1.01849
2022-09-30,1.02036
2022-10-03,1.018
2022-10-04,1.00157
2022-10-05,1.01164
2022-10-06,1.02098
2022-10-07,1.0269
2022-10-10,1.03058
2022-10-11,1.03039
2022-10-12,1.03031
2022-10-13,1.02287
2022-10-14,1.02809
2022-10-17,1.01616
2022-10-18,1.01394
2022-10-19,1.02317
2022-10-20,1.02188
2022-10-21,1.01403
2022-10-24,1.01297
2022-10-25,1.00333
2022-10-26,0.991925
2022-10-27,1.0033
2022-10-28,1.0034
2022-10-31,1.01164
2022-11-01,1.01271
2022-11-02,1.01884
2022-11-03,1.02547
2022-11-04,1.00414
2022-11-07,0.998203
2022-11-08,0.992683
2022-11-09,0.998821
2022-11-10,0.980594
2022-11-11,0.965428
2022-11-14,0.96872
2022-11-15,0.966575
2022-11-16,0.962056
2022-11-17,0.964859
2022-11-18,0.968635
2022-11-21,0.976333
2022-11-22,0.97044
2022-11-23,0.961899
2022-11-24,0.960688
2022-11-25,0.96066
2022-11-28,0.966893
2022-11-29,0.968185
2022-11-30,0.960651
2022-12-01,0.950272
2022-12-02,0.949397
2022-12-05,0.952852
2022-12-06,0.955465
2022-12-07,0.951583
2022-12-08,0.947238
2022-12-09,0.949604
2022-12-12,0.949072
2022-12-13,0.940468
2022-12-14,0.936198
2022-12-15,0.940716
2022-12-16,0.944064
2022-12-19,0.94264
2022-12-20,0.94122
2022-12-21,0.942853
2022-12-22,0.943503
2022-12-23,0.94193
2022-12-27,0.939743
2022-12-28,0.941921
2022-12-29,0.937919
2022-12-30,0.934151
2023-01-02,0.937514
2023-01-03,0.948029
2023-01-04,0.942773
2023-01-05,0.950398
2023-01-06,0.939311
2023-01-09,0.931705
2023-01-10,0.931402
2023-01-11,0.929532
2023-01-12,0.921743
2023-01-13,0.92319
2023-01-16,0.923932
2023-01-17,0.926603
2023-01-18,0.926612
2023-01-19,0.923267
2023-01-20,0.921107
2023-01-23,0.919887
2023-01-24,0.918535
2023-01-25,0.916203
2023-01-26,0.918172
2023-01-27,0.920344
2023-01-30,0.921548
2023-01-31,0.920632
2023-02-01,0.910042
2023-02-02,0.916691
2023-02-03,0.926483
2023-02-06,0.932183
2023-02-07,0.931992
2023-02-08,0.933419
2023-02-09,0.931098
2023-02-10,0.93639
2023-02-13,0.932418
2023-02-14,0.931541
2023-02-15,0.935541
2023-02-16,0.937171
2023-02-17,0.935042
2023-02-20,0.935821
2023-02-21,0.939099
2023-02-22,0.942889
2023-02-23,0.943761
2023-02-24,0.948118
2023-02-27,0.9428
2023-02-28,0.945224
2023-03-01,0.937259
2023-03-02,0.943547
2023-03-03,0.940282
2023-03-06,0.936101
2023-03-07,0.947669
2023-03-08,0.948406
2023-03-09,0.944956
2023-03-10,0.940097
2023-03-13,0.932183
2023-03-14,0.931749
2023-03-15,0.945295
2023-03-16,0.942285
2023-03-17,0.937541
2023-03-20,0.9326
2023-03-21,0.928496
2023-03-22,0.920979
2023-03-23,0.923045
2023-03-24,0.929402
2023-03-27,0.926131
2023-03-28,0.922339
2023-03-29,0.922356
2023-03-30,0.916859
2023-03-31,0.922032
2023-04-03,0.917237
2023-04-04,0.9128
2023-04-05,0.916884
2023-04-06,0.915876
2023-04-10,0.920784
2023-04-11,0.91643
2023-04-12,0.909752
2023-04-13,0.905272
2023-04-14,0.909363
2023-04-17,0.915164
2023-04-18,0.911369
2023-04-19,0.912691
2023-04-20,0.911651
2023-04-21,0.909926
2023-04-24,0.905313
2023-04-25,0.911161
2023-04-26,0.905649
2023-04-27,0.906955
2023-04-28,0.907457
2023-05-01,0.911004
2023-05-02,0.908909
2023-05-03,0.903897
2023-05-04,0.907902
2023-05-05,0.907597
2023-05-08,0.90871
2023-05-09,0.912075
2023-05-10,0.910464
2023-05-11,0.91596
2023-05-12,0.92148
2023-05-15,0.91954
2023-05-16,0.920606
2023-05-17,0.922509
2023-05-18,0.92841
2023-05-19,0.925368
2023-05-22,0.924855
2023-05-23,0.928212
2023-05-24,0.930197
2023-05-25,0.932096
2023-05-26,0.931983
2023-05-29,0.933645
2023-05-30,0.931653
2023-05-31,0.935707
2023-06-01,0.92935
2023-06-02,0.933872
2023-06-05,0.933445
2023-06-06,0.935042
2023-06-07,0.934684
2023-06-08,0.92742
2023-06-09,0.930734
2023-06-12,0.929566
2023-06-13,0.926801
2023-06-14,0.923147
2023-06-15,0.913826
2023-06-16,0.914478
2023-06-19,0.915532
2023-06-20,0.91591
2023-06-21,0.910282
2023-06-22,0.9127
2023-06-23,0.918197
2023-06-26,0.91685
2023-06-27,0.912358
2023-06-28,0.916195
2023-06-29,0.92042
2023-06-30,0.916321
2023-07-03,0.916455
2023-07-04,0.919151
2023-07-05,0.921107
2023-07-06,0.918357
2023-07-07,0.911826
2023-07-10,0.909057
2023-07-11,0.908479
2023-07-12,0.898512
2023-07-13,0.890852
2023-07-14,0.890781
2023-07-17,0.889877
2023-07-18,0.890535
2023-07-19,0.892801
2023-07-20,0.898061
2023-07-21,0.898844
2023-07-24,0.903758
2023-07-25,0.904322
2023-07-26,0.901957
2023-07-27,0.910954
2023-07-28,0.907194
2023-07-31,0.909214
2023-08-01,0.907548
2023-08-02,0.914151
2023-08-03,0.913283
2023-08-04,0.908479
2023-08-07,0.908752
2023-08-08,0.912808
2023-08-09,0.911012
2023-08-10,0.910423
2023-08-11,0.913517
2023-08-14,0.916934
2023-08-15,0.917044
2023-08-16,0.91894
2023-08-17,0.919827
2023-08-18,0.919743
2023-08-21,0.917717
2023-08-22,0.922049
2023-08-23,0.920589
2023-08-24,0.924821
2023-08-25,0.925703
2023-08-28,0.924257
2023-08-29,0.919185
2023-08-30,0.915273
2023-08-31,0.922313
2023-09-01,0.9281
2023-09-04,0.926371
2023-09-05,0.932566
2023-09-06,0.932427
2023-09-07,0.934771
2023-09-08,0.934623
2023-09-11,0.930189
2023-09-12,0.929376
2023-09-13,0.931957
2023-09-14,0.939584
2023-09-15,0.938112
2023-09-18,0.935234
2023-09-19,0.936338
2023-09-20,0.93776
2023-09-21,0.938174
2023-09-22,0.939478
2023-09-25,0.944082
2023-09-26,0.945975
2023-09-27,0.951827
2023-09-28,0.946503
2023-09-29,0.945832
2023-10-02,0.954262
2023-10-03,0.955529
2023-10-04,0.951809
2023-10-05,0.948002
2023-10-06,0.944331
2023-10-09,0.946405
2023-10-10,0.942924
2023-10-11,0.94161
2023-10-12,0.949577
2023-10-13,0.951158
2023-10-16,0.947032
2023-10-17,0.945304
2023-10-18,0.949108
2023-10-19,0.944956
2023-10-20,0.944073
